id,category,question_type,content,options,answer,score
1,universal,single,美嘉胜是哪两家公司战略合作的产物？,"[""华为+小米"",""华胜+小米"",""华胜+蔚来"",""宝马+小米""]",B,2
2,universal,single,华胜核心价值观是？,"[""诚信、专业、合作、进取"",""真诚、热爱、高效、创新"",""客户第一、员工第二"",""科学修车、透明服务""]",A,2
3,universal,single,小米核心价值观是？,"[""真诚热爱"",""合作共赢"",""技术为本"",""效率优先""]",A,2
4,universal,single,美嘉胜的发展目标是成为？,"[""小米汽车最佳战略服务商"",""全国最大维修连锁"",""豪华车专修第一品牌"",""新能源汽车制造商""]",A,2
5,universal,single,员工考勤每天工作几小时？,"[""6小时"",""8小时"",""10小时"",""12小时""]",B,2
6,universal,single,上下班打卡必须由谁操作？,"[""同事代打"",""本人亲自打卡"",""主管代打"",""无需打卡""]",B,2
7,universal,single,月度迟到早退累计几次按旷工1次处理？,"[""2次"",""4次"",""6次"",""8次""]",B,2
8,universal,single,连续旷工几天公司可解除劳动合同？,"[""1天"",""3天"",""5天"",""7天""]",B,2
9,universal,single,工资发放日为每月几号？,"[""5号"",""15号"",""20号"",""月底""]",B,2
10,universal,single,薪酬信息是否可以互相打听讨论？,"[""可以"",""私下可以"",""严禁"",""领导允许即可""]",C,2
11,universal,single,小米服务三大铁律不包括？,"[""体验为先"",""质量为本"",""首问责任制"",""价格最低""]",D,2
12,universal,single,美嘉胜高压线行为触碰后公司可？,"[""口头警告"",""解除合同不补偿"",""罚款"",""记过""]",B,2
13,universal,single,员工信息虚假，公司可如何处理？,"[""批评教育"",""解除合同无补偿"",""降薪调岗"",""记录档案""]",B,2
14,universal,single,车间作业是否可以吸烟？,"[""可以"",""休息区可以"",""严禁"",""领导不在可以""]",C,2
15,universal,single,新员工试用期最长不超过几个月？,"[""3个月"",""6个月"",""9个月"",""12个月""]",B,2
16,universal,single,员工年假按什么计算？,"[""工龄"",""岗位"",""业绩"",""入职月份""]",A,2
17,universal,single,小米汽车服务要求全程做到哪“三透明”？,"[""过程、项目、价格"",""时间、人员、配件"",""成本、利润、工时"",""系统、流程、标准""]",A,2
18,universal,single,首问责任制是指？,"[""谁接待谁负责闭环"",""店长负责到底"",""技术主管负责"",""客服负责""]",A,2
19,universal,single,员工离职正式工需提前几天申请？,"[""3天"",""7天"",""30天"",""当天""]",C,2
20,universal,single,手册与劳动合同效力关系是？,"[""手册高于合同"",""同等效力"",""合同高于手册"",""无关系""]",B,2
21,universal,multiple,小米服务理念包括？,"[""真诚"",""智能"",""管家式专属服务"",""低价""]","A,B,C",2
22,universal,multiple,华胜经营哲学“一个中心两个基本点”包括？,"[""建设优秀团队"",""企业文化"",""标准化管理"",""业绩第一""]","A,B,C",2
23,universal,multiple,以下哪些属于美嘉胜高压线？,"[""职务侵占"",""飞单"",""泄露客户信息"",""迟到""]","A,B,C",2
24,universal,multiple,安全生产要求包括？,"[""车间禁烟"",""规范用电"",""动火审批"",""佩戴护具""]","A,B,C,D",2
25,universal,multiple,员工福利包括？,"[""带薪年假"",""社保"",""节日礼品"",""员工基金""]","A,B,C,D",2
26,universal,multiple,以下哪些行为属于违纪？,"[""代打卡"",""上班玩手机"",""着装不规范"",""拒绝培训""]","A,B,C,D",2
27,universal,multiple,小米汽车红线包括？,"[""恶意竞争"",""以次充好"",""泄露信息"",""扩损""]","A,B,C,D",2
28,universal,multiple,员工职业发展双通道是？,"[""专业通道"",""管理通道"",""兼职通道"",""外包通道""]","A,B",2
29,universal,multiple,试用期不合格情形包括？,"[""资料虚假"",""考核不达标"",""旷工"",""不服从安排""]","A,B,C,D",2
30,universal,multiple,办公秩序要求包括？,"[""桌面整洁"",""下班关电源"",""禁止喧哗"",""禁止带小孩宠物""]","A,B,C,D",2
31,management,single,门店培训第一责任人是？,"[""人事"",""店长"",""技师长"",""服务主管""]",B,2
32,management,single,门店消防安全第一责任人是？,"[""店长"",""行政"",""保安"",""技术主管""]",A,2
33,management,single,部门员工一月内多次违反办公秩序，负责人需？,"[""乐捐"",""口头警告"",""记过"",""降级""]",A,2
34,management,single,员工不胜任工作，店长可依法？,"[""直接辞退"",""培训/调岗"",""降薪"",""罚款""]",B,2
35,management,single,小米要求门店服务经理出现红线需？,"[""罚款"",""到总部述职"",""停岗"",""开除""]",B,2
36,management,single,门店内训每月不少于几次？,"[""1次"",""2次"",""3次"",""4次""]",B,2
37,management,single,聘任管理中，晋升需经过几个月试聘期？,"[""1个月"",""3个月"",""6个月"",""12个月""]",B,2
38,management,single,客户重大投诉第一处置人是？,"[""店长"",""服务顾问"",""技术主管"",""人事""]",A,2
39,management,single,门店数据造造假属于什么行为？,"[""警戒线"",""高压线"",""一般违纪"",""不处理""]",B,2
